,t,p,ph,q,s,ewe,na,k_,li,rb,mg,ca,sr,mn,fe,ni,cu,zn,cd,hg,al,sn,pb,b_,si,as,f_,cl,br,nh4,hco3,so4,E3,cu_3,as_3,sr_3,pb_3,al_3,zn_3,li_3,ni_3,cd_3,E4,H4,E5,ni_5,zn_5,as_5,rb_5,sr_5,mn_5,al_5,li_5,f__5,cu_5,pb_5,br_5,hg_5,fe_5,cd_5,b__5,E6,E
408,167.38149941080698,6.002698748778989,5.275,40.0,102.75,0.35,27325,3845.0,165.5,20.5,90.5,8132.5,442.5,20.2,89.75,0.057,0.044,3.68,0.03,0.0005,0.235,3.68,0.65,44.3,51.35,11.475,35.5,62155.5,205.0,41.0,294.78,143,-0.11376045332841048,0.03482436762705866,9.900873859743022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6328543266669209,3.0,-0.6469503938328286,0.04862090053776925,1.8443596552856727,0.2506210052740753,0.23612322722337178,370.08248801743963,12.731841012868681,0.23434706468754934,45.65985845960454,31.889685631017965,0.00362497693640231,0.06582998922609169,111.83622211885927,0.0003356296586725338,48.93771094348798,0.0017364895171626236,0.8021230504172706,0.08788368706633337,0.9600271665720153
409,152.40655318277203,6.002698748778989,5.275,40.0,102.75,0.35,27325,3845.0,165.5,20.5,90.5,8132.5,442.5,20.2,89.75,0.057,0.044,3.68,0.03,0.0005,0.235,3.68,0.65,44.3,51.35,11.475,35.5,62155.5,205.0,41.0,294.78,143,-0.17533316338991647,0.03633063708128502,9.845273967341479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.239228249816688,3.0,-0.2423176521682914,0.039746575355424967,2.2798306649515845,0.5808973478223536,0.8968741656899666,98.89503549542289,12.714438767580724,0.14444993098269007,64.81713819676388,24.158139579473804,0.0035739765704943037,0.6333979423542245,80.67155769862096,8.879766160801261e-05,17.501171302323556,0.016987906931815178,11.279785576559126,0.08780713856747877,0.909384572825959
410,171.76622819093478,6.002698748778989,5.275,40.0,102.75,0.35,27325,3845.0,165.5,20.5,90.5,8132.5,442.5,20.2,89.75,0.057,0.044,3.68,0.03,0.0005,0.235,3.68,0.65,44.3,51.35,11.475,35.5,62155.5,205.0,41.0,294.78,143,-0.12472945766109275,0.036094471845326964,10.145608682089797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7505788367303423,3.0,-0.3141727953893687,0.021940697513292216,2.718411131595862,0.3585431296723187,0.37248683846932595,214.1468615075911,12.443040804939708,0.23496311529611538,65.15269132331586,11.23641495897614,0.0069696703151093005,0.4794232697540522,47.387791784594945,0.00032647758622603,51.6526988846378,0.017190135480880418,25.531355296940752,0.08789515888123828,1.3995717425611192
411,158.15753943250175,6.002698748778989,5.275,40.0,102.75,0.35,27325,3845.0,165.5,20.5,90.5,8132.5,442.5,20.2,89.75,0.057,0.044,3.68,0.03,0.0005,0.235,3.68,0.65,44.3,51.35,11.475,35.5,62155.5,205.0,41.0,294.78,143,-0.08237047384720725,0.03711226678374284,9.94963940829376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.388779355624682,3.0,-0.7614362247443047,0.039851473728407846,2.358054053295199,0.2886849448437193,0.4378051796849415,191.34754125431834,16.399314651494013,0.23290857475449167,66.0112047465063,35.28071165076294,0.005177845136370052,0.5083785535736665,12.363148520155601,0.00018560297526507753,44.37168560685676,0.015987182026462148,4.09129654862486,0.08783394436312798,0.6328066013962979
412,164.9210925151941,6.002698748778989,5.275,40.0,102.75,0.35,27325,3845.0,165.5,20.5,90.5,8132.5,442.5,20.2,89.75,0.057,0.044,3.68,0.03,0.0005,0.235,3.68,0.65,44.3,51.35,11.475,35.5,62155.5,205.0,41.0,294.78,143,-0.08039992234830283,0.03969309819257531,9.870618368712071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5664842641373216,3.0,-0.5807544492308554,0.02143799980536543,1.7365114690333354,0.25384654716726435,1.5341274010388781,180.26851637645356,15.897783710306168,0.23492878895023095,66.02083332282237,23.357627830972998,0.0010957143180783083,0.614501936529083,77.70036419910704,0.00034475528902910347,7.909457780562407,0.005173533544117363,4.187930525347647,0.08786456132184343,0.9931944538800068
413,153.51729869522225,6.002698748778989,5.275,40.0,102.75,0.35,27325,3845.0,165.5,20.5,90.5,8132.5,442.5,20.2,89.75,0.057,0.044,3.68,0.03,0.0005,0.235,3.68,0.65,44.3,51.35,11.475,35.5,62155.5,205.0,41.0,294.78,143,-0.22096716172256134,0.037434112704359326,9.585142269727518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2669317397917133,3.0,-0.18491253734480387,0.03529029541687718,1.324217780133715,0.5374331110931505,0.40065602158893193,126.85164717031617,12.722647217154389,0.23481710560833038,66.0796951050462,12.236881635872143,0.0023853321884363273,0.21278989801787127,116.50737074910906,0.0003779878589952682,53.86331818107959,0.0024079228646442185,37.34946493022465,0.08782628708585928,0.9488783278102074
414,154.26867268707764,6.002698748778989,5.275,40.0,102.75,0.35,27325,3845.0,165.5,20.5,90.5,8132.5,442.5,20.2,89.75,0.057,0.044,3.68,0.03,0.0005,0.235,3.68,0.65,44.3,51.35,11.475,35.5,62155.5,205.0,41.0,294.78,143,-0.0866839727010548,0.03666960747562326,9.853842531874992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2880757147453343,3.0,-0.14894813339072496,0.011088488368680148,2.56683271454599,0.3609333362990829,1.1478451697329914,133.50344638745304,17.14233889602197,0.2226761207413633,53.590698004240636,4.991221663755391,0.00492676811304914,0.5583649153038748,146.94458887249257,0.000418529959343623,8.795904959310885,0.014996150530717059,37.50815342296076,0.08782245799099428,1.1402660666445488
415,171.34256233569084,6.002698748778989,5.275,40.0,102.75,0.35,27325,3845.0,165.5,20.5,90.5,8132.5,442.5,20.2,89.75,0.057,0.044,3.68,0.03,0.0005,0.235,3.68,0.65,44.3,51.35,11.475,35.5,62155.5,205.0,41.0,294.78,143,-0.12089918415734195,0.03531556393812767,9.970255565745576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7383276927623121,3.0,-0.20370488323846941,0.01765892841622739,1.2814104061021598,0.4859642076471118,1.2703919171548486,105.8375525715725,11.830654699677572,0.23475421712897332,65.81168549039788,9.077746560339522,0.006170743098165622,0.5490796543356119,158.80793101987587,5.999951671437431e-05,58.209285978735565,0.007752040036945294,17.227102892292468,0.08790280524638054,1.5016264306128815
416,156.40526411166095,6.002698748778989,5.275,40.0,102.75,0.35,27325,3845.0,165.5,20.5,90.5,8132.5,442.5,20.2,89.75,0.057,0.044,3.68,0.03,0.0005,0.235,3.68,0.65,44.3,51.35,11.475,35.5,62155.5,205.0,41.0,294.78,143,-0.1317856465206565,0.03595780320939266,10.225630363860219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3426970453391376,3.0,-0.6097606177063979,0.026751022030894946,1.9069916584166575,0.21894519361614923,1.3794861936195366,344.1207545368848,12.78770999895887,0.23159506268057944,64.54337929866509,21.48831270348255,0.0025412197207375425,0.21719656025931358,149.21000968306333,0.00018800865400747614,46.9746667434027,0.011689669196292551,5.848126470233083,0.08783777254574703,0.6889885536578303
417,173.38035800939605,6.002698748778989,5.275,40.0,102.75,0.35,27325,3845.0,165.5,20.5,90.5,8132.5,442.5,20.2,89.75,0.057,0.044,3.68,0.03,0.0005,0.235,3.68,0.65,44.3,51.35,11.475,35.5,62155.5,205.0,41.0,294.78,143,-0.12304602816065646,0.03682122136797972,9.766005708052337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.791282308407916,3.0,-0.6796005294881737,0.04713292200018903,1.0313516529183242,0.25304093460060456,0.34246170053579006,182.90422354296513,15.575096897601977,0.2344715931818562,48.99368524022104,25.636338904990875,0.0015285173081264509,0.24740188716818287,180.55742650414732,0.00023368383967470525,32.58889450548656,0.014458999899651093,40.30809529742521,0.08792191523417421,1.0765576659932599
