,t,p,ph,q,s,ewe,na,k_,li,rb,mg,ca,sr,mn,fe,ni,cu,zn,cd,hg,al,sn,pb,b_,si,as,f_,cl,br,nh4,hco3,so4,E3,cu_3,as_3,sr_3,pb_3,al_3,zn_3,li_3,ni_3,cd_3,E4,H4,E5,al_5,li_5,as_5,ni_5,mn_5,zn_5,sr_5,rb_5,cd_5,cu_5,br_5,hg_5,pb_5,f__5,fe_5,b__5,E6,E
38,159.0,6.002698748778989,5.7078106381632665,40.0,102.75,0.35,27325,3845.0,165.5,20.5,90.5,8132.5,442.5,20.2,89.75,0.057,0.044,3.68,0.03,0.0005,0.235,3.68,0.65,44.3,51.35,11.475,35.5,62155.5,205.0,41.0,294.78,143,-0.13896920366557236,0.037953450022725696,9.551854869646506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4110559781318,3.0,-0.5419270051289217,0.23438609149370546,49.01485623587718,0.4414097302470163,0.03555524087356726,17.788718695883293,1.735233615030164,163.1926371782526,1.1416776713907055,0.0037576341161367653,0.002379228452708326,64.10700478711688,0.00013282342352688347,0.21680914570086288,21.38954689842283,72.96194809645027,30.64806144114296,0.08783011587653451,0.8179898852138405
39,159.0,6.002698748778989,5.053462672529976,40.0,102.75,0.35,27325,3845.0,165.5,20.5,90.5,8132.5,442.5,20.2,89.75,0.057,0.044,3.68,0.03,0.0005,0.235,3.68,0.65,44.3,51.35,11.475,35.5,62155.5,205.0,41.0,294.78,143,-0.12380721889010192,0.037365342725956735,9.89909005512084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4110559781318,3.0,-0.4297161471870377,0.23491054296667432,64.59175079956785,0.44286074342575926,0.009255206056735304,17.541231661654553,3.4657996215243574,143.46755042424473,1.4639335017002488,0.017687577311534666,0.0020130702545277913,122.25189578380031,0.00018316166721001436,0.5296244339428708,7.290538214939809,53.287101948732584,16.818873061986164,0.08783011587653451,0.945362727931195
40,159.0,6.002698748778989,5.26545079444315,40.0,102.75,0.35,27325,3845.0,165.5,20.5,90.5,8132.5,442.5,20.2,89.75,0.057,0.044,3.68,0.03,0.0005,0.235,3.68,0.65,44.3,51.35,11.475,35.5,62155.5,205.0,41.0,294.78,143,-0.10585448826052508,0.0365175425237875,9.796804446900804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4110559781318,3.0,-0.2885038879061339,0.23439273770027508,65.73751227518075,0.39370997116664463,0.02400338610729968,13.52188601971363,2.942718688220138,272.5172299518019,1.360631839266041,0.01447155145867758,0.004302417930092447,111.36976807985386,6.698653709085845e-06,0.15759503977773912,3.9905995108390226,0.9292210070387901,20.565672714749386,0.08783011587653451,1.1045277178416755
41,159.0,6.002698748778989,5.516054152036254,40.0,102.75,0.35,27325,3845.0,165.5,20.5,90.5,8132.5,442.5,20.2,89.75,0.057,0.044,3.68,0.03,0.0005,0.235,3.68,0.65,44.3,51.35,11.475,35.5,62155.5,205.0,41.0,294.78,143,-0.1089794937257382,0.0371788052144025,9.96434320045103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4110559781318,3.0,-0.8357772753615802,0.22857198536806755,57.93426315897866,0.27485605981761113,0.03253013737756989,13.27526777481356,3.4278382663730227,270.04055985359076,1.3972550639545855,0.01237330900146216,0.006790913616617248,125.50995276897889,4.868298271796601e-05,0.6399104672844603,21.633068891392753,17.612712561255574,43.991935230256225,0.08783011587653451,0.5541293249210161
42,159.0,6.002698748778989,5.506755833172486,40.0,102.75,0.35,27325,3845.0,165.5,20.5,90.5,8132.5,442.5,20.2,89.75,0.057,0.044,3.68,0.03,0.0005,0.235,3.68,0.65,44.3,51.35,11.475,35.5,62155.5,205.0,41.0,294.78,143,-0.13644357368541848,0.03688484083140357,9.974151201500932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4110559781318,3.0,-0.9586872835497716,0.21614370642919564,53.65443274395552,0.2778067980140688,0.0221632564845317,12.607066703138036,1.6709100455605825,149.78307799091186,0.48034501283316533,0.015672126569449784,0.0011422266414467315,74.90498787135172,0.0003058678408455971,0.1578459935992642,18.305545165507457,62.72827685892803,11.139126444567422,0.08783011587653451,0.40375523677314445
43,159.0,6.002698748778989,5.4801837604967645,40.0,102.75,0.35,27325,3845.0,165.5,20.5,90.5,8132.5,442.5,20.2,89.75,0.057,0.044,3.68,0.03,0.0005,0.235,3.68,0.65,44.3,51.35,11.475,35.5,62155.5,205.0,41.0,294.78,143,-0.2918306102495059,0.03949368252735867,9.638209449341637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4110559781318,3.0,-1.3838775980005276,0.127870328114538,55.66694538321092,0.5167300976901417,0.04056372811360656,17.89590462295061,3.027434932770369,351.2512463078493,0.429454177987886,0.008961827522628857,0.0015305343858864869,34.58987523105137,1.4910611075980852e-05,0.16821098532109424,19.305373792301953,5.112666424590752,9.517442168192938,0.08783011587653451,-0.17682211424169897
44,159.0,6.002698748778989,5.700482980062517,40.0,102.75,0.35,27325,3845.0,165.5,20.5,90.5,8132.5,442.5,20.2,89.75,0.057,0.044,3.68,0.03,0.0005,0.235,3.68,0.65,44.3,51.35,11.475,35.5,62155.5,205.0,41.0,294.78,143,-0.10416944636680373,0.03829874622768717,9.799529096935919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4110559781318,3.0,-0.8217145971003406,0.23473498956995673,66.1445389766489,0.46664818649276213,0.023990896445751628,15.853686723464824,1.487511920285327,160.85054531932252,1.172780954185327,0.02854636860791567,0.0027512801839768577,74.03636264408966,0.00048053607665102076,0.5418280078467047,30.15811066411008,47.236983842058976,33.320311073832976,0.08783011587653451,0.5730020505411902
45,159.0,6.002698748778989,5.261537164168905,40.0,102.75,0.35,27325,3845.0,165.5,20.5,90.5,8132.5,442.5,20.2,89.75,0.057,0.044,3.68,0.03,0.0005,0.235,3.68,0.65,44.3,51.35,11.475,35.5,62155.5,205.0,41.0,294.78,143,-0.1056122014287825,0.03557758822368398,9.94018852628199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4110559781318,3.0,-1.8910123040189748,0.23499663005847946,64.33100902380706,0.4818292577592956,0.016587197808286106,11.676211230723366,3.0699351431042063,263.6632253407022,1.5647056538588562,0.021128217248166086,0.006550592357716618,191.08765538754233,0.00011367570372003194,0.2904683601403177,30.202857706435978,79.62042699147328,2.5334353487244927,0.08783011587653451,-0.49773841143942293
46,159.0,6.002698748778989,5.219584252483598,40.0,102.75,0.35,27325,3845.0,165.5,20.5,90.5,8132.5,442.5,20.2,89.75,0.057,0.044,3.68,0.03,0.0005,0.235,3.68,0.65,44.3,51.35,11.475,35.5,62155.5,205.0,41.0,294.78,143,-0.2506104110781766,0.036851434989905674,9.595047079886672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4110559781318,3.0,-0.15731676677570056,0.23492889136975859,56.884551159482065,0.5628807698065931,0.018950692952814294,15.867261976101316,1.1297906605002122,91.92151466536674,0.17331016934679988,0.02503970710438343,0.004061385517866581,153.24727608588069,0.0001737273130288493,0.24312577010771003,21.806229281226376,55.200537468866415,30.649944552228746,0.08783011587653451,1.0909589161544573
47,159.0,6.002698748778989,5.791283893713352,40.0,102.75,0.35,27325,3845.0,165.5,20.5,90.5,8132.5,442.5,20.2,89.75,0.057,0.044,3.68,0.03,0.0005,0.235,3.68,0.65,44.3,51.35,11.475,35.5,62155.5,205.0,41.0,294.78,143,-0.12158419447078761,0.03759312169629685,10.06877200160769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4110559781318,3.0,-1.3830022547795275,0.23098951512103508,66.0802744969123,0.4407713805111013,0.008337418688567402,13.041736684975863,1.5896437770474656,340.2204480626308,1.524072724434796,0.005721142308693079,0.0009355722634796065,184.88370224694677,0.0004967850722827577,0.16111284765764258,15.39614028526715,49.50773896874025,10.774209510706775,0.08783011587653451,-0.00570035524198069
48,159.0,6.002698748778989,5.114540368446737,40.0,102.75,0.35,27325,3845.0,165.5,20.5,90.5,8132.5,442.5,20.2,89.75,0.057,0.044,3.68,0.03,0.0005,0.235,3.68,0.65,44.3,51.35,11.475,35.5,62155.5,205.0,41.0,294.78,143,-0.14865926859728845,0.03930422464220899,10.015671324181271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4110559781318,3.0,-0.9783414772859377,0.2275755205641742,47.38791417233319,0.32338698634901997,0.0369699753305829,15.129273612929287,2.330068714845682,295.837103177643,0.8431613254440671,0.007360719990448493,0.002554918755789919,184.93107848990343,0.0001062340683622468,0.5020515582463945,22.514664531963135,58.45316814197525,30.38579628187968,0.08783011587653451,0.37188534812510826
49,159.0,6.002698748778989,4.766166735929848,40.0,102.75,0.35,27325,3845.0,165.5,20.5,90.5,8132.5,442.5,20.2,89.75,0.057,0.044,3.68,0.03,0.0005,0.235,3.68,0.65,44.3,51.35,11.475,35.5,62155.5,205.0,41.0,294.78,143,-0.13234515192873147,0.037177208799728585,9.27808194514959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4110559781318,3.0,-0.10808006745709967,0.23490251419235242,60.43940200755973,0.7306705738283816,0.022892640059799154,11.594874178787382,2.9469207629457133,169.57370518281965,1.5591799621551328,0.013911461510996318,0.00019101448869503386,114.31687730307812,8.320061849546923e-06,0.16852662830035633,29.226059923634114,20.440394675179732,32.03286411005196,0.08783011587653451,1.2584608746225032
50,159.0,6.002698748778989,4.772518016046647,40.0,102.75,0.35,27325,3845.0,165.5,20.5,90.5,8132.5,442.5,20.2,89.75,0.057,0.044,3.68,0.03,0.0005,0.235,3.68,0.65,44.3,51.35,11.475,35.5,62155.5,205.0,41.0,294.78,143,-0.09521080297026198,0.036668155164241725,9.139174283618416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4110559781318,3.0,-0.769016232383377,0.23327685653615648,46.19138902399914,0.47134850976567083,0.021541156715427775,16.23239611778881,1.596552906230435,306.271936609393,1.3763658051999124,0.023161773864637972,0.002731216535412919,142.04836167921553,0.00042238975728706363,0.2842144395588901,26.252348785591444,71.51158767131983,39.21024986783068,0.08783011587653451,0.6346590586546954
51,159.0,6.002698748778989,5.020389382161867,40.0,102.75,0.35,27325,3845.0,165.5,20.5,90.5,8132.5,442.5,20.2,89.75,0.057,0.044,3.68,0.03,0.0005,0.235,3.68,0.65,44.3,51.35,11.475,35.5,62155.5,205.0,41.0,294.78,143,-0.1825757431992476,0.037952728477351476,9.851579650928695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4110559781318,3.0,-0.8309570343280913,0.23460427000935094,65.0116618953406,0.2784532665605654,0.010692644645348767,15.550747169611766,3.314084016692825,308.3364153679609,0.0377668653053737,0.01646524426678945,0.0022345572031290096,37.630619872491536,0.0004901630246451244,0.5239243289595741,24.722570624018484,39.164832917919206,8.014541397685152,0.08783011587653451,0.4853533164809955
52,159.0,6.002698748778989,5.64271982966464,40.0,102.75,0.35,27325,3845.0,165.5,20.5,90.5,8132.5,442.5,20.2,89.75,0.057,0.044,3.68,0.03,0.0005,0.235,3.68,0.65,44.3,51.35,11.475,35.5,62155.5,205.0,41.0,294.78,143,-0.16740683697649358,0.03801513155370885,9.952267781238364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4110559781318,3.0,-2.450138878274644,0.1908963556731832,65.1771718733164,0.28411578322333403,0.035867811476191905,16.681876349451766,1.0413963564234145,102.89687639407825,1.2108850098631594,0.025859461143990663,0.0024474920292041676,163.60214712323042,0.00018082767435726067,0.09601490637552797,33.08748362408746,68.17674775901577,0.6417997808487905,0.08783011587653451,-1.1186596212428033
53,159.0,6.002698748778989,4.911876747124706,40.0,102.75,0.35,27325,3845.0,165.5,20.5,90.5,8132.5,442.5,20.2,89.75,0.057,0.044,3.68,0.03,0.0005,0.235,3.68,0.65,44.3,51.35,11.475,35.5,62155.5,205.0,41.0,294.78,143,-0.10128878801352001,0.03920340476720308,10.31796511610404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4110559781318,3.0,-0.46863093577414744,0.22903603392075464,46.20901038161536,0.33903614167282803,0.017182235054965314,14.825080493439197,1.153047654004259,184.13628295829247,1.034875488162483,0.01159112007936552,0.0005382555697224166,170.8637973809741,0.00012782839591465205,0.493675899361874,25.076977849823006,14.85305684765941,27.10116241741147,0.08783011587653451,0.9289663702206671
54,159.0,6.002698748778989,5.130848691072206,40.0,102.75,0.35,27325,3845.0,165.5,20.5,90.5,8132.5,442.5,20.2,89.75,0.057,0.044,3.68,0.03,0.0005,0.235,3.68,0.65,44.3,51.35,11.475,35.5,62155.5,205.0,41.0,294.78,143,-0.09498477929405356,0.03625887080898215,9.69135262855227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4110559781318,3.0,-0.8468838143982673,0.2334456871003962,65.04381412072938,0.3930409850760001,0.017529625185685564,17.599352202667983,1.8582047841434892,197.59390432016005,1.4657804339640557,0.01888914941854107,0.005004468108239707,157.90051863392205,0.000386947466374698,0.5011863843142932,29.050953602882622,54.381319882161414,23.453751544185227,0.08783011587653451,0.5570175003160137
55,159.0,6.002698748778989,4.898450180625992,40.0,102.75,0.35,27325,3845.0,165.5,20.5,90.5,8132.5,442.5,20.2,89.75,0.057,0.044,3.68,0.03,0.0005,0.235,3.68,0.65,44.3,51.35,11.475,35.5,62155.5,205.0,41.0,294.78,143,-0.17288996948714655,0.037445071343803524,9.330871241016423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4110559781318,3.0,-0.29370463885612125,0.22321670782519118,59.14255205082185,0.6021172550532687,0.034208006139872606,13.54173638955797,2.296873955281553,271.9351850988639,0.9784209240528927,0.006607561128024094,0.004673535759041042,187.6817969726515,0.0004113309116286879,0.3195816979500496,19.46814890486921,36.45496427875224,24.07574259336629,0.08783011587653451,1.0322914856650665
56,159.0,6.002698748778989,5.785664103302449,40.0,102.75,0.35,27325,3845.0,165.5,20.5,90.5,8132.5,442.5,20.2,89.75,0.057,0.044,3.68,0.03,0.0005,0.235,3.68,0.65,44.3,51.35,11.475,35.5,62155.5,205.0,41.0,294.78,143,-0.10804253143753721,0.03830209740164705,9.798875491423017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4110559781318,3.0,-0.5433697090031859,0.23496942465455084,59.176750268118695,0.5156737225469109,0.007476603849519242,13.775075301781234,2.142267138921299,94.50398280176164,0.6373913061822369,0.008260590181890771,0.0024844803177517683,50.561646378516194,0.00010008304995720535,0.21339466316978534,8.395851969670787,40.49118736830474,20.33465963505251,0.08783011587653451,0.8474738535676113
