,t,p,ph,q,s,ewe,na,k_,li,rb,mg,ca,sr,mn,fe,ni,cu,zn,cd,hg,al,sn,pb,b_,si,as,f_,cl,br,nh4,hco3,so4,E3,cu_3,as_3,sr_3,pb_3,al_3,zn_3,li_3,ni_3,cd_3,E4,H4,E5,as_5,rb_5,li_5,sr_5,al_5,ni_5,zn_5,mn_5,cu_5,fe_5,b__5,pb_5,br_5,hg_5,cd_5,f__5,E6,E
189,159.0,6.002698748778989,5.275,39.068671146424975,102.75,0.35,27325,3845.0,165.5,20.5,90.5,8132.5,442.5,20.2,89.75,0.057,0.044,3.68,0.03,0.0005,0.235,3.68,0.65,44.3,51.35,11.475,35.5,62155.5,205.0,41.0,294.78,143,-0.10498617301182338,0.037691896336987274,10.097955382457586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3688252852274,3.0,-0.3644572229753974,0.41037652735354985,0.2257349498512498,62.51078984840783,227.46436287513978,0.2349246230964412,0.03169376877359029,2.171582875985982,12.209081853729398,0.005851435065118791,9.08570165868238,23.667403771270298,0.08867598726032598,138.4202255850967,0.00012892814378235147,0.004148776060779802,34.71511064815263,0.08562421179838609,0.9850061010385655
190,159.0,6.002698748778989,5.275,43.0470834813466,102.75,0.35,27325,3845.0,165.5,20.5,90.5,8132.5,442.5,20.2,89.75,0.057,0.044,3.68,0.03,0.0005,0.235,3.68,0.65,44.3,51.35,11.475,35.5,62155.5,205.0,41.0,294.78,143,-0.17775234057619632,0.038482836204761665,9.618718943539044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5496828178831998,3.0,-1.0530114293637136,0.520586849213711,0.5594341963020435,44.74893716953325,146.93374164893567,0.23483389342550548,0.0384756980854236,2.4760240304744228,12.279158684812833,0.0005997731959465228,50.24307568890128,10.314207494045537,0.4861065347640075,89.64091354615243,0.0004477591195387734,0.026606120699817926,28.36811234749974,0.09503288272378153,0.4139519306670715
191,159.0,6.002698748778989,5.275,40.237615910442976,102.75,0.35,27325,3845.0,165.5,20.5,90.5,8132.5,442.5,20.2,89.75,0.057,0.044,3.68,0.03,0.0005,0.235,3.68,0.65,44.3,51.35,11.475,35.5,62155.5,205.0,41.0,294.78,143,-0.11373625206287623,0.03848744443565677,10.28739112007888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4220726806286001,3.0,-0.8324351332348303,0.3803790222617931,1.534492264918892,60.72019462445715,310.35933427759403,0.2314222168585507,0.007758478041830234,3.327582910141697,12.40280464455414,0.005031472504418544,64.5152668632356,25.211593568249604,0.3961947944117909,91.93200736752793,0.0001192868399932171,0.003688239242140192,27.61492495792168,0.08838700027187471,0.5642882956027684
192,159.0,6.002698748778989,5.275,41.75673201134627,102.75,0.35,27325,3845.0,165.5,20.5,90.5,8132.5,442.5,20.2,89.75,0.057,0.044,3.68,0.03,0.0005,0.235,3.68,0.65,44.3,51.35,11.475,35.5,62155.5,205.0,41.0,294.78,143,-0.12747481226740917,0.03557095481544649,9.805358137385369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4909270712335996,3.0,-0.44702315294954104,0.41849694625176764,1.1237426746098502,60.47416861313636,297.6204631752193,0.23497549793760866,0.04574169566401955,3.46431917620483,15.437066740804232,0.003922739397197966,57.96567389753222,34.94977165080816,0.15643640144404897,139.39452687137475,0.0002731299591545285,0.023255474757102858,8.462633929272586,0.09198296825338832,1.0084120742700378
193,159.0,6.002698748778989,5.275,41.53786446237676,102.75,0.35,27325,3845.0,165.5,20.5,90.5,8132.5,442.5,20.2,89.75,0.057,0.044,3.68,0.03,0.0005,0.235,3.68,0.65,44.3,51.35,11.475,35.5,62155.5,205.0,41.0,294.78,143,-0.1730594609158325,0.03803628370509348,9.534704258851953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4808284272782,3.0,-0.4098638710688235,0.6196284834520407,1.43438469024149,60.778882580545094,356.7044017937398,0.22953664818280278,0.03975395893358275,1.0371969854692227,14.13741923666609,0.005199365001001751,49.918934062857275,33.65121698575727,0.5727783446085628,24.04362905922071,0.00017131497675108826,0.01632745149932732,27.625604706876533,0.09146736436484652,0.9893724596583905
194,159.0,6.002698748778989,5.275,36.699170680275095,102.75,0.35,27325,3845.0,165.5,20.5,90.5,8132.5,442.5,20.2,89.75,0.057,0.044,3.68,0.03,0.0005,0.235,3.68,0.65,44.3,51.35,11.475,35.5,62155.5,205.0,41.0,294.78,143,-0.11526188543759117,0.03827960331525771,9.276389710252756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2609534066128998,3.0,-1.5141831596311446,0.48241414072657374,0.29929150488181355,55.693118884370165,245.82242266947168,0.2340703393676522,0.031193436069116676,1.5309989009403238,12.435140869197156,0.0010179610141180207,17.480383286017453,11.958179438557663,0.2008953654322358,44.467668139099516,0.0003531814330031351,0.005542079963473721,10.116809973317292,0.08001771222483314,-0.28847392623100276
195,159.0,6.002698748778989,5.275,43.69474613634586,102.75,0.35,27325,3845.0,165.5,20.5,90.5,8132.5,442.5,20.2,89.75,0.057,0.044,3.68,0.03,0.0005,0.235,3.68,0.65,44.3,51.35,11.475,35.5,62155.5,205.0,41.0,294.78,143,-0.11677843680396584,0.03717530123457083,9.635152666653767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5790606912079999,3.0,-0.09922105800906213,0.31902358896268934,1.3549736312994187,65.5615450992054,98.33416986981322,0.2347772991092893,0.03030606503055491,2.418232216092503,14.780770805363694,0.0002702490145869237,4.336169853125033,29.298851188885585,0.5999306901039266,89.80106372811119,0.00023862059509304696,0.02686552008519828,27.556203353004346,0.09656052510364287,1.4596217214986145
196,159.0,6.002698748778989,5.275,38.36944470913687,102.75,0.35,27325,3845.0,165.5,20.5,90.5,8132.5,442.5,20.2,89.75,0.057,0.044,3.68,0.03,0.0005,0.235,3.68,0.65,44.3,51.35,11.475,35.5,62155.5,205.0,41.0,294.78,143,-0.12153988168907465,0.03436403371974419,9.800657501132937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3366932362784,3.0,-0.9310496482153676,0.5945999759957503,1.6309466674005326,51.47741145461008,321.119357708675,0.23423573849945978,0.02573655799893069,2.752421336358451,17.359201133339592,0.007231287979248664,28.694833138910703,1.0922698145036114,0.09329863377263423,160.9656267019136,0.00032891737408432886,0.014807105458748441,27.530873248050924,0.08397643224281974,0.3680801386167775
197,159.0,6.002698748778989,5.275,43.921239649531394,102.75,0.35,27325,3845.0,165.5,20.5,90.5,8132.5,442.5,20.2,89.75,0.057,0.044,3.68,0.03,0.0005,0.235,3.68,0.65,44.3,51.35,11.475,35.5,62155.5,205.0,41.0,294.78,143,-0.14038652190912843,0.03957236796524719,9.281759789867781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5896183644341,3.0,-1.257447922982558,0.43410843523731374,0.5143749856694817,62.70322655775695,280.9958686293693,0.23292170270222182,0.04690243582718782,2.340250227116967,13.882722165127738,0.0012427315473107184,86.28269782848518,24.477993441080198,0.5418925744371497,99.62419882292222,0.00047305807458228674,0.013433306975140983,3.792713384060332,0.09709325076678606,0.2888771703091996
198,159.0,6.002698748778989,5.275,42.223890920319214,102.75,0.35,27325,3845.0,165.5,20.5,90.5,8132.5,442.5,20.2,89.75,0.057,0.044,3.68,0.03,0.0005,0.235,3.68,0.65,44.3,51.35,11.475,35.5,62155.5,205.0,41.0,294.78,143,-0.13553670182848757,0.03620043484678391,9.655532910544698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5120424176857998,3.0,-0.18712795216769318,0.5311235533103889,0.11993297605318709,64.54786277606185,162.48809156745304,0.22467219171491767,0.04035041548714417,0.9763105728267717,13.257332767481298,0.004291948987914484,49.69411857811503,44.009927201826734,0.2879914364303747,130.0237950507732,0.0003482001918287181,0.027098735223749688,19.334748609427457,0.09309195378000898,1.282469717469628
