,t,p,ph,q,s,ewe,co2,na,ca,mg,cl,au,ag,co,zn,li,cu,pb,ni,cd,ti,mo,mn,ba,se,sr,sb,al,as,E3,cu_3,au_3,as_3,sb_3,E4,H4,E5,al_5,ni_5,mn_5,sr_5,zn_5,as_5,li_5,ba_5,E6,E
10,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006420140878246311,0,0,0.0249830186046925,0.0,4.005789801815131e-07,0.0,5.293484206129344e-07,383.63548154399996,4976.775,-1.4414389847028386e-134,0.0,1.4456127858696375e-131,0.0,0.0,0.0,0.0,0.0,0.0,0.1105132537827213,383.77097781638736
11,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006210944255058304,0,0,0.022645221391254782,0.0,4.088609789277687e-07,0.0,4.7030798763197407e-07,383.63548154399996,4976.775,-1.246460750845337e-134,0.0,1.4456127858696375e-131,0.0,0.0,0.0,0.0,0.0,0.0,0.1105132537827213,383.7686400191739
12,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006410474195244518,0,0,0.021691435310403788,0.0,3.4709637122213523e-07,0.0,4.656339539899647e-07,383.63548154399996,4976.775,-2.9789493608461034e-134,0.0,1.4456127858696375e-131,0.0,0.0,0.0,0.0,0.0,0.0,0.1105132537827213,383.76768623309306
13,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.005760939724802166,0,0,0.021396414140330017,0.0,3.924785643361696e-07,0.0,4.2663824566278555e-07,383.63548154399996,4976.775,-1.984906584347401e-134,0.0,1.4456127858696375e-131,0.0,0.0,0.0,0.0,0.0,0.0,0.1105132537827213,383.767391211923
14,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.00553643469184582,0,0,0.01975286318045486,0.0,3.59890692341662e-07,0.0,4.230635730835136e-07,383.63548154399996,4976.775,-1.1367115363088227e-134,0.0,1.4456127858696375e-131,0.0,0.0,0.0,0.0,0.0,0.0,0.1105132537827213,383.7657476609631
15,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.005863415959844728,0,0,0.018952832862703693,0.0,3.4624464170014606e-07,0.0,4.0245558832689903e-07,383.63548154399996,4976.775,-1.168487471281181e-133,0.0,1.4456127858696375e-131,0.0,0.0,0.0,0.0,0.0,0.0,0.1105132537827213,383.76494763064534
16,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.0064917351710867335,0,0,0.022558485645586778,0.0,3.439960249070283e-07,0.0,4.848507786036741e-07,383.63548154399996,4976.775,-2.7183607588088586e-134,0.0,1.4456127858696375e-131,0.0,0.0,0.0,0.0,0.0,0.0,0.1105132537827213,383.7685532834282
17,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.005566801434626321,0,0,0.02134909962626466,0.0,3.841436823647923e-07,0.0,4.826011079223429e-07,383.63548154399996,4976.775,-2.2374417086364582e-134,0.0,1.4456127858696375e-131,0.0,0.0,0.0,0.0,0.0,0.0,0.1105132537827213,383.7673438974089
18,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006107025848384793,0,0,0.02399757594333577,0.0,3.3270936706777804e-07,0.0,5.206498950348203e-07,383.63548154399996,4976.775,-1.9713465359131147e-134,0.0,1.4456127858696375e-131,0.0,0.0,0.0,0.0,0.0,0.0,0.1105132537827213,383.769992373726
19,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006377276205392614,0,0,0.02206965717326971,0.0,3.064278101349171e-07,0.0,4.646899029975985e-07,383.63548154399996,4976.775,-6.704313481802418e-135,0.0,1.4456127858696375e-131,0.0,0.0,0.0,0.0,0.0,0.0,0.1105132537827213,383.76806445495595
