,t,p,ph,q,s,ewe,co2,na,ca,mg,cl,au,ag,co,zn,li,cu,pb,ni,cd,ti,mo,mn,ba,se,sr,sb,al,as,E3,cu_3,au_3,as_3,sb_3,E4,H4,E5,al_5,ni_5,mn_5,sr_5,zn_5,as_5,li_5,ba_5,E6,E
13,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.02424515977135744,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.0199512547063303,0.0,3.552939278497745e-07,0.0,4.2171818621583726e-07,383.63548154399996,4976.775,-1.8298278350739424e-134,0.0,1.4456127858696375e-131,0.0,0.0,0.0,0.0,0.0,0.0,0.1105132537827213,383.76594605248897
14,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.024937165850620266,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.024022097363377546,0.0,3.740078664037546e-07,0.0,4.903022935911472e-07,383.63548154399996,4976.775,-1.7016357732298737e-134,0.0,1.4456127858696375e-131,0.0,0.0,0.0,0.0,0.0,0.0,0.1105132537827213,383.77001689514606
15,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.026644891693626535,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.022594850711035286,0.0,3.525721596142113e-07,0.0,4.556833475956072e-07,383.63548154399996,4976.775,-2.848857321928328e-134,0.0,1.4456127858696375e-131,0.0,0.0,0.0,0.0,0.0,0.0,0.1105132537827213,383.7685896484937
16,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.02352465089676439,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.022139222657766137,0.0,3.7080853060387344e-07,0.0,4.903111160846656e-07,383.63548154399996,4976.775,-1.2175960855936708e-134,0.0,1.4456127858696375e-131,0.0,0.0,0.0,0.0,0.0,0.0,0.1105132537827213,383.7681340204404
17,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.02641568526894065,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.018934512647287335,0.0,3.7742415798865934e-07,0.0,4.499390555676043e-07,383.63548154399996,4976.775,-3.158634779723039e-134,0.0,1.4456127858696375e-131,0.0,0.0,0.0,0.0,0.0,0.0,0.1105132537827213,383.7649293104299
18,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.02669140213557026,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.020356992621488493,0.0,4.336822500685988e-07,0.0,4.491476022546015e-07,383.63548154399996,4976.775,-1.3171777538426526e-134,0.0,1.4456127858696375e-131,0.0,0.0,0.0,0.0,0.0,0.0,0.1105132537827213,383.76635179040414
19,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.027896345603891662,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.020938413515794372,0.0,3.213734318112673e-07,0.0,4.291150785816252e-07,383.63548154399996,4976.775,-9.024123064836121e-135,0.0,1.4456127858696375e-131,0.0,0.0,0.0,0.0,0.0,0.0,0.1105132537827213,383.76693321129846
20,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.023840179441704,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.01938757648261651,0.0,4.038867090283015e-07,0.0,4.465603392601098e-07,383.63548154399996,4976.775,-2.0335476747365936e-134,0.0,1.4456127858696375e-131,0.0,0.0,0.0,0.0,0.0,0.0,0.1105132537827213,383.7653823742653
21,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.02444698860235553,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.021992415175539928,0.0,3.9243578803543293e-07,0.0,4.5794603353704044e-07,383.63548154399996,4976.775,-1.1266969073244105e-134,0.0,1.4456127858696375e-131,0.0,0.0,0.0,0.0,0.0,0.0,0.1105132537827213,383.7679872129582
22,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.024798319092609426,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.019668226317340314,0.0,3.6068646973821165e-07,0.0,4.4776942041730333e-07,383.63548154399996,4976.775,-2.9062415907559913e-134,0.0,1.4456127858696375e-131,0.0,0.0,0.0,0.0,0.0,0.0,0.1105132537827213,383.7656630241
23,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.027721214175254194,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.02002722740573919,0.0,3.786205053607152e-07,0.0,4.4932848856173646e-07,383.63548154399996,4976.775,-1.165508723758925e-134,0.0,1.4456127858696375e-131,0.0,0.0,0.0,0.0,0.0,0.0,0.1105132537827213,383.7660220251884
24,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.02721925175263529,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.023798734006934212,0.0,3.78448634924425e-07,0.0,5.131803514724271e-07,383.63548154399996,4976.775,-2.1781281628627183e-134,0.0,1.4456127858696375e-131,0.0,0.0,0.0,0.0,0.0,0.0,0.1105132537827213,383.7697935317896
25,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.025330665153003563,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.02163220266467584,0.0,3.9768457374665644e-07,0.0,4.417168419226201e-07,383.63548154399996,4976.775,-1.962077791030089e-134,0.0,1.4456127858696375e-131,0.0,0.0,0.0,0.0,0.0,0.0,0.1105132537827213,383.7676270004473
26,150,4.741903252197481,4.6,150,29,0.35,680,49800,1350,7,98100,0.005,0.027994402404858273,0.008,8,0,0.8,0.36,0.094,0.04,0.0082,0.033,0,0,0.012,0,0.006,0,0,0.019509009192792966,0.0,3.9094338859719697e-07,0.0,4.089432796166991e-07,383.63548154399996,4976.775,-4.839123128683163e-134,0.0,1.4456127858696375e-131,0.0,0.0,0.0,0.0,0.0,0.0,0.1105132537827213,383.76550380697546
